Years_of_Experience,Education_Level,Number_of_Skills,Certifications,Projects,Resume_Score
8.6,Bachelor's,8,1,3,36.9
1.9,Bachelor's,8,1,6,29.36
1.9,High School,3,1,3,0.0
5.1,Diploma,5,0,10,32.33
17.1,Diploma,10,0,5,55.35
2.4,Bachelor's,10,2,4,33.02
3.0,Bachelor's,16,0,2,33.96
2.7,Bachelor's,15,1,5,41.38
3.7,Diploma,8,1,2,10.06
9.0,Bachelor's,11,1,13,86.3
3.8,Bachelor's,2,1,7,35.55
18.1,PhD,15,3,11,100.0
4.4,Bachelor's,17,3,7,66.79
9.6,Diploma,9,5,10,75.84
3.2,Bachelor's,9,0,4,27.31
1.3,Master's,12,3,2,51.8
3.8,Master's,18,3,6,77.05
5.9,Master's,12,3,8,73.92
2.1,Master's,7,2,3,53.56
8.6,Bachelor's,11,4,4,56.61
2.8,PhD,12,3,8,85.72
1.6,High School,5,0,2,0.0
16.0,Master's,11,1,12,100.0
2.0,Master's,8,1,4,39.05
2.7,Master's,5,7,3,43.79
6.6,Bachelor's,15,3,8,76.91
3.1,Master's,7,3,5,57.59
1.7,Diploma,8,0,5,13.45
2.5,Bachelor's,12,1,6,42.57
13.2,Bachelor's,15,3,4,97.15
6.0,Bachelor's,13,0,6,56.27
6.9,Master's,14,5,7,97.25
4.9,Bachelor's,5,1,5,23.96
5.5,Bachelor's,10,3,3,29.01
2.9,Bachelor's,14,0,7,49.16
4.5,Master's,7,3,3,47.34
0.5,Master's,16,1,2,49.96
7.8,Master's,7,6,8,86.77
2.9,Diploma,4,1,5,11.71
1.5,Master's,10,3,5,51.64
4.7,Master's,14,4,7,72.69
3.5,High School,5,2,2,0.0
7.6,Bachelor's,10,0,9,50.2
3.9,Bachelor's,6,1,3,15.34
2.5,Bachelor's,3,0,2,4.28
4.0,Diploma,7,1,2,0.84
10.3,Bachelor's,13,2,3,59.98
7.8,High School,6,2,4,36.18
6.0,Diploma,8,2,5,34.09
8.0,Bachelor's,5,1,7,45.29
6.4,Master's,13,3,0,58.3
1.9,Bachelor's,4,1,2,11.47
6.9,Bachelor's,11,1,3,40.18
8.7,Master's,9,0,5,54.91
9.0,Bachelor's,10,5,11,86.28
1.6,Diploma,9,2,2,4.22
2.7,Bachelor's,9,3,2,42.09
2.4,Bachelor's,8,2,2,19.02
3.2,Bachelor's,13,2,5,60.25
5.6,Bachelor's,9,2,7,46.38
4.6,Bachelor's,14,1,5,40.24
4.6,Bachelor's,5,1,3,37.4
1.2,PhD,7,1,3,27.58
2.6,Bachelor's,1,0,3,0.0
9.4,Bachelor's,7,4,6,54.31
8.6,Bachelor's,10,1,9,63.35
3.8,Master's,12,3,5,53.05
6.9,Master's,9,3,4,57.87
5.3,Master's,9,5,2,45.87
7.5,Bachelor's,6,1,5,47.94
7.2,Bachelor's,5,1,6,42.73
4.1,Master's,11,2,4,44.46
6.1,Bachelor's,13,2,5,39.97
5.5,PhD,7,3,4,56.83
4.2,Bachelor's,3,0,3,17.35
3.5,Bachelor's,13,1,4,49.63
12.0,Bachelor's,9,1,5,58.51
4.2,Bachelor's,16,2,6,57.73
6.7,Master's,8,0,4,40.68
11.4,Diploma,12,2,10,76.91
6.1,Bachelor's,7,0,4,37.0
5.9,Bachelor's,4,3,4,35.94
4.2,Master's,13,5,8,81.93
5.6,Bachelor's,9,2,4,48.92
3.3,PhD,9,1,6,69.18
19.6,Master's,11,2,11,100.0
1.2,Bachelor's,8,1,4,23.78
3.7,Master's,16,2,7,67.67
6.1,PhD,15,2,5,82.91
5.9,Bachelor's,13,3,4,51.37
3.3,Bachelor's,7,1,3,34.5
0.8,Bachelor's,14,1,4,42.63
1.4,Bachelor's,5,1,4,29.47
4.8,Diploma,10,1,7,32.87
0.6,Master's,10,3,2,55.17
6.4,Bachelor's,10,2,3,46.74
9.1,Bachelor's,11,2,3,54.26
7.2,High School,7,2,3,28.88
8.2,Master's,8,0,6,47.73
0.6,Bachelor's,5,0,6,15.75
3.4,Bachelor's,12,0,5,36.14
1.8,Bachelor's,8,1,3,25.05
1.0,Diploma,8,0,4,4.29
2.9,Bachelor's,8,1,0,12.42
11.3,PhD,16,2,7,100.0
13.3,Bachelor's,12,1,4,66.06
2.0,Master's,12,2,6,56.41
4.4,High School,4,1,3,9.09
5.5,Master's,14,1,6,50.26
3.4,Bachelor's,10,1,1,31.15
9.6,Bachelor's,10,1,4,49.12
2.9,Bachelor's,13,1,3,35.68
2.5,Diploma,6,2,2,2.8
2.1,Bachelor's,4,3,6,32.03
3.4,Bachelor's,9,0,2,18.51
0.2,Bachelor's,7,1,1,7.37
3.5,PhD,6,1,3,47.17
4.6,Bachelor's,10,1,4,42.55
4.8,Master's,11,2,7,75.11
1.7,Bachelor's,13,1,2,26.16
4.7,Diploma,11,2,5,42.9
4.7,Bachelor's,10,1,1,34.0
4.7,Bachelor's,7,0,3,24.1
7.3,Bachelor's,8,4,8,79.42
1.6,Master's,14,1,3,41.13
3.4,Master's,13,1,2,46.93
0.8,Bachelor's,6,1,2,13.63
6.9,Bachelor's,7,2,4,33.48
1.9,Bachelor's,16,1,2,47.48
8.1,Bachelor's,10,2,7,60.93
8.3,Diploma,11,2,7,57.58
3.7,Diploma,16,0,3,43.03
3.6,Bachelor's,4,0,5,20.62
